grado,nro_escuela,estudio_adicional,dni_doc
MAG81159,1,American University in Bulgaria,370250314
MAG70977,2,Thomas Aquinas College,518132106
MAG03162,3,Universitas Sumatera Utara,447137397
MAG80550,4,Universidad Adventista de Bolivia,380781238
MAG26576,5,Baylor University,322747470
MAG14424,6,Mamoun Private University for Science and Technology,946487228
MAG68733,7,Sheffield Hallam University,116644986
MAG78738,8,University of Massachusetts at Boston,325520548
MAG48476,9,Academy of Arts in Banská Bystrica,005059412
MAG33014,10,Universidad Católica de La Plata,699237235
MAG27853,11,University of Stellenbosch,533943177
MAG35937,12,Athenaeum of Ohio,016938827
MAG08171,13,Keimyung University,025047072
MAG53567,14,Fountain University,210695231
MAG53815,15,Open University of Cyprus,215088222
MAG98019,16,Talladega College,689892557
MAG94477,17,University Vitez In Travnik,244459031
MAG41528,18,Dominica State College,065635770
MAG61005,19,Toho College of Music,692126182
MAG60040,20,Cardiff University,298344806
MAG28107,21,"University of Perpetual Help, System Dalta",831845523
MAG85381,22,American University in Bulgaria,282799459
MAG85054,23,Université de Montpellier I,617981177
MAG82802,24,British University in Dubai,590703899
MAG54760,25,Izmir Economic University,246891960
MAG82589,26,Nihon Fukushi University,930964229
MAG48157,27,Chongqing Medical University,482552409
MAG65819,28,University of Applied Sciences Aargau,290554665
MAG25674,29,Galway Mayo Institute of Technology,321384647
MAG78444,30,"Universiteit Antwerpen, UFSIA",515386577
MAG04724,31,Universidad del Tolima,886752871
MAG82741,32,National Taiwan Ocean University,829130743
MAG13421,33,Universitas 17 Agustus 1945 Banyuwangi,329976596
MAG35703,34,Wuhan University of Hydraulic and Electric Engineering,013952285
MAG97917,35,Westminster College Fulton,228068898
MAG62706,36,Instituto Politecnico do Porto,594325123
MAG83694,37,University of Alexandra Dubček in Trenčín,441368891
MAG36107,38,Technical University of Crete,356421069
MAG91722,39,Sagami Women's University,651934496
MAG13817,40,Bogor Agricultural University,165878407
MAG30170,41,Inner Mongolia Agricultural University,159858019
MAG77013,42,Dnepropetrovsk National University,605608892
MAG29493,43,Hebrew College,860107230
MAG45275,44,Rand Graduate School of Policy Studies,094727054
MAG69033,45,Tama Art University,686083583
MAG88195,46,"Islamic Azad University, Shahr-e-rey Branch",748674701
MAG77129,47,Universidad Santa María Campus Guayaquil,143097319
MAG98739,48,Godfrey Okoye University,482757080
MAG90720,49,St. Petersburg State Marine Technical University,474257001
MAG60753,50,Mother Teresa Women's University,781427056
MAG20521,51,University Goce Delcev,031240660
MAG71016,52,Xiamen University,130661951
MAG54739,53,Universität Salzburg,375080534
MAG88663,54,Universidad Empresarial Mateo Kuljis,158700048
MAG18045,55,Universidad de Pamplona,190088068
MAG47691,56,Solusi University,025298424
MAG94990,57,Tohoku Bunka Gakuen University,456743579
MAG16880,58,Universidad del Noroeste,577243489
MAG53841,59,Nara University of Commerce,436494509
MAG87080,60,Universitas Janabadra,231404660
MAG65148,61,Universidad Pontificia Bolivariana,417959866
MAG81934,62,Universität Köln,911146495
MAG45238,63,Beder University,276492308
MAG39547,64,Kansai University of Social Welfare,491378726
MAG95605,65,Case Western Reserve University,919568571
MAG10679,66,Ecole Supérieure d'Ingénieurs en Génie Electrique,611688571
MAG49235,67,Mokwon University Taejon,514338499
MAG94405,68,Nakamura Gakuen University,915196092
MAG86589,69,Alabama Agricultural and Mechanical University,020133175
MAG89150,70,Indira Gandhi Institute of Development and Research,157073103
MAG76404,71,Holy Family College,031241488
MAG11484,72,"Academy of Arts ""George Enescu"" Iasi",770710362
MAG20320,73,Roosevelt University,966130071
MAG37576,74,Universität Fridericana Karlsruhe (Technische Hochschule),440751378
MAG72256,75,Dravidian University,592810042
MAG51886,76,Nagoya Women's University,184873747
MAG97705,77,Hartford Graduate Center (Rensselaer at Hartford),442624079
MAG39881,78,Kuwait University,472919005
MAG95642,79,University of Pisa,718117359
MAG63392,80,Matsumoto Dental University,797404262
MAG33437,81,Guru Jambeshwar University,048617334
MAG09195,82,Vilnius University,834371595
